Rank,Team,Gold,Silver,Bronze,S Tier,Earnings
192,Team Finest,2,1,1,0,"$9,463"
193,Prospects,6,7,0,0,"$9,350"
194,Stars Horizon,1,0,0,0,"$9,285"
195,AWARIA,1,3,1,0,"$9,280"
196,XSET Female,0,2,0,0,"$9,250"
197,Furious Gaming,2,6,2,0,"$9,219"
198,Sengoku Gaming,0,2,0,0,"$9,132"
199,CGN Esports,0,4,1,0,"$9,055"
200,FishkaVTom,9,2,1,0,"$8,917"
201,İstanbul Wildcats,2,0,0,0,"$8,848"
202,Reckoning Esports,2,5,5,0,"$8,780"
203,Purple Cobras,4,1,1,0,"$8,672"
204,Excel Esports,1,1,0,0,"$8,666"
205,PartyParrots,4,1,0,0,"$8,531"
206,Moon Raccoons,1,5,2,0,"$8,425"
207,APEX PEOPLE,3,0,0,0,"$8,410"
208,PENTA,2,0,1,0,"$8,409"
209,Oasis Gaming,1,1,1,0,"$8,405"
210,Stars Horizon Vênus,1,1,1,0,"$8,395"
211,ROX TEAM,2,1,1,0,"$8,282"
212,tyeasy,0,1,1,0,"$8,261"
213,Echo 8,5,1,1,0,"$8,250"
214,DivisionX Gaming,3,4,3,0,"$8,246"
215,KOVA,0,1,0,0,"$8,206"
216,B4 Esports,2,2,1,0,"$8,127"
217,DetonatioN Gaming,1,1,1,0,"$8,089"
217,True Rippers Esports,1,2,5,0,"$8,089"
219,Zero Zone,0,0,1,0,"$8,057"
220,Moon Raccoons Black,0,0,1,0,"$8,000"
220,Dignitas,0,1,0,0,"$8,000"
222,Keyd Stars Athenas,0,2,2,0,"$7,838"
223,Divinity,0,0,0,0,"$7,783"
224,Anatolia Esports,0,3,0,0,"$7,758"
225,Spot Up,6,3,3,0,"$7,600"
226,Only One Word,2,0,1,0,"$7,580"
227,Nigma Galaxy,2,2,0,0,"$7,511"
228,TSM Academy,2,2,0,0,"$7,500"
229,Nigma Galaxy Female,3,4,1,0,"$7,470"
230,Kafalar Esports,0,1,0,0,"$7,460"
231,EDward Gaming,5,7,3,0,"$7,260"
232,3BL Esports,1,2,2,0,"$7,209"
233,Vorax,0,1,0,0,"$7,197"
234,Team Underrated,4,3,0,0,"$7,100"
234,together we are terrific,4,3,0,0,"$7,100"
236,Team Bliss,4,0,2,0,"$6,920"
237,TBK Esports,0,0,0,0,"$6,855"
238,Ovation eSports,2,5,3,0,"$6,843"
239,KPI Gaming,3,0,1,0,"$6,780"
240,Noble,2,1,1,0,"$6,775"
241,NG.Black,1,1,1,0,"$6,697"
242,KaiXin Esports,8,4,6,0,"$6,665"
243,FS Esports,5,3,1,0,"$6,626"
244,Geekay Esports,1,2,0,0,"$6,548"
245,Overtime Esports,1,4,0,0,"$6,535"
246,HSDIRR,4,3,0,0,"$6,447"
247,Team Launch,1,1,0,0,"$6,369"
248,Digital Athletics,2,1,0,0,"$6,359"
249,Thunderbolts Gaming,0,1,1,0,"$6,296"
250,GodLike Esports,0,3,3,0,"$6,290"
251,Team Falcons,2,0,0,0,"$6,250"
252,Rix.GG Thunder,0,1,1,0,"$6,128"
253,FABRIKEN,3,5,1,0,"$6,073"
254,KONE,0,1,2,0,"$6,034"
255,XPLDZ,0,1,1,0,"$6,005"
256,PACT,4,1,0,0,"$5,899"
257,Anorthosis Famagusta Esports,2,1,3,0,"$5,896"
258,Last Round Save,7,4,0,0,"$5,815"
259,Skull Cracker Fem,3,3,0,0,"$5,746"
260,PROPARTY,0,1,0,0,"$5,662"
261,NOTHING2LOSE,2,1,0,0,"$5,650"
262,Team Queso,3,2,0,0,"$5,570"
263,smoke,6,5,0,0,"$5,550"
264,DKS Esports,2,2,1,0,"$5,538"
265,Ferrari Peek,8,1,0,0,"$5,477"
266,Man I Love Fwogs,1,3,1,0,"$5,450"
267,Angry Titans,3,1,0,0,"$5,388"
268,Squad5,2,0,0,0,"$5,351"
269,Project X,3,3,0,0,"$5,176"
270,BearClaw Gaming,0,1,0,0,"$5,142"
271,Mod-Z Esports,0,0,0,0,"$5,125"
272,Entropiq,2,2,0,0,"$5,067"
273,PEACE,0,2,0,0,"$5,066"
274,ArkAngel,1,2,0,0,"$5,016"
275,ZFGaming,1,1,1,0,"$5,007"
276,Axsor,4,1,0,0,"$4,970"
277,Cairo City G'zzz,0,2,2,0,"$4,872"
278,Team oNe,0,3,0,0,"$4,818"
279,Aricat Esport,4,0,0,0,"$4,798"
280,Team Serenity,2,6,2,0,"$4,775"
281,Gen.G Black,1,2,1,0,"$4,750"
282,SuperMassive Blaze Female,0,2,0,0,"$4,668"
283,GiefKalash,3,2,0,0,"$4,632"
284,Rebirth Esports,1,3,3,0,"$4,531"
285,SV Empire,0,4,3,0,"$4,530"
285,SAW,3,1,0,0,"$4,530"
287,YFP Gaming,2,3,1,0,"$4,500"
288,Rio Company,0,0,0,0,"$4,473"
289,TUBEPLE Gaming,0,0,0,0,"$4,457"
290,Warriors,3,3,1,0,"$4,299"
291,MOUZ,0,0,1,0,"$4,266"
292,Beşiktaş Esports,0,0,1,0,"$4,196"
293,Team Weibo,3,4,3,0,"$4,108"
294,Zeal Esports,1,2,1,0,"$4,087"
295,ehehxd,4,6,0,0,"$4,034"
296,INTZ Angels,2,3,0,0,"$4,021"
297,No Mercy,3,1,0,0,"$4,009"
298,Morning Light,2,3,1,0,"$4,000"
298,KRÜ Fem,3,0,0,0,"$4,000"
300,Exceeli Esports,2,1,1,0,"$3,976"
301,Wichita Wolves,7,2,2,0,"$3,938"
302,Kaos Latin Gamers,2,1,1,0,"$3,900"
303,Thailand Attitude,2,1,0,0,"$3,841"
304,BLUE BEES,1,1,0,0,"$3,813"
305,Illuminar Gaming,1,2,0,0,"$3,804"
306,Mystify,3,2,1,0,"$3,759"
307,Team Lixa,10,4,3,0,"$3,744"
308,Wygers,1,0,2,0,"$3,734"
309,Highground,2,4,0,0,"$3,700"
310,Worst Players,1,3,3,0,"$3,668"
311,Suning,2,2,3,0,"$3,558"
312,Chakalaka,6,1,0,0,"$3,553"
313,LOL-,1,1,0,0,"$3,399"
314,Surreal Esports,3,1,1,0,"$3,364"
315,Oxygen Supremacy,2,3,2,0,"$3,350"
316,Elevate,1,2,1,0,"$3,325"
317,Legacy Esports,0,1,0,0,"$3,298"
318,Team Liquid Brazil,2,0,0,0,"$3,278"
319,ROYALS,2,1,0,0,"$3,262"
320,FW ESPORTS,2,4,0,0,"$3,256"
321,Reality Rift,1,1,2,0,"$3,104"
322,Real Betis,1,3,0,0,"$3,030"
323,Meta Gaming,0,1,1,0,"$3,000"
323,Code7,1,3,1,0,"$3,000"
323,Akave Esports,2,1,0,0,"$3,000"
326,looking4org,3,0,1,0,"$2,978"
327,VIMDOLOL,0,1,1,0,"$2,947"
328,Mixup,2,0,2,0,"$2,900"
329,OG,0,0,0,0,"$2,890"
330,Rebels Gaming,1,1,0,0,"$2,823"
331,PDHM Gaming,5,1,1,0,"$2,810"
332,flow state,1,6,1,0,"$2,800"
333,SUPRMODE,1,1,0,0,"$2,788"
334,Northeption,0,1,1,0,"$2,689"
335,eXiLe eSports,4,3,1,0,"$2,664"
336,Revolution,1,2,0,0,"$2,657"
337,EveryBodyDance,3,0,0,0,"$2,634"
338,Tek Gaming,2,3,0,0,"$2,607"
339,Los Grandes,2,0,0,0,"$2,600"
340,Sangal Esports,0,1,0,0,"$2,597"
341,Arctic,2,1,0,0,"$2,531"
342,Celeste Esports,6,2,0,0,"$2,358"
343,Skull Cracker,3,0,1,0,"$2,350"
344,FENNEL,0,0,0,0,"$2,287"
345,2G4L,1,3,3,0,"$2,253"
346,DarkZero Esports,0,1,2,0,"$2,250"
347,Futbolist Female,0,0,0,0,"$2,240"
348,Quantum Strikers,1,1,0,0,"$2,198"
349,AoeXe,2,2,2,0,"$2,193"
350,LIZHI,0,0,0,0,"$2,163"
351,Optix,0,2,2,0,"$2,150"
351,ascend,2,2,0,0,"$2,150"
353,Penguin Sledding,5,1,1,0,"$2,125"
354,WATAHA,4,2,2,0,"$2,022"
354,Avenue Esports,6,5,0,0,"$2,022"
356,BBL Queens,0,0,0,0,"$2,021"
357,The Ultimates,0,1,1,0,"$2,000"
358,Crypto Esports,1,1,1,0,"$1,900"
359,Dire Wolves,0,0,0,0,"$1,897"
360,Ryze Gaming,1,2,0,0,"$1,875"
361,Team FANGS,7,0,1,0,"$1,858"
362,Kanga Esports,0,1,1,0,"$1,847"
363,Vengeance,7,7,2,0,"$1,783"
364,Aim.Attack,1,3,0,0,"$1,756"
365,FRENCH CANADIANS,1,0,1,0,"$1,750"
366,19esports,0,1,0,0,"$1,709"
367,eSuba,2,1,2,0,"$1,701"
368,Spacestation Gaming,1,0,1,0,"$1,700"
369,Diamant Esports,6,2,2,0,"$1,687"
370,Funkboings,0,2,2,0,"$1,650"
371,Fadee Gaming,1,4,0,0,"$1,633"
372,Enterprise Esports,0,2,0,0,"$1,586"
373,Entropiq Bravo,4,0,1,0,"$1,562"
374,big pizza,2,0,0,0,"$1,509"
375,Ground Zero Gaming,1,0,1,0,"$1,411"
376,Rex Regum Qeon,0,1,0,0,"$1,355"
377,QLASH Egypt,0,0,1,0,"$1,318"
378,beastcoast,0,1,1,0,"$1,300"
379,Complexity GX3,1,0,0,0,"$1,200"
380,HaZe Clan,0,0,0,0,"$1,025"
381,S2V Esports,0,1,0,0,"$1,014"
382,Avant Gaming,0,0,1,0,"$1,001"
383,VersionX,0,0,0,0,"$1,000"
384,DeToNator,0,0,0,0,$955
385,CYCLOPS athlete gaming,0,1,1,0,$949
386,Chiefs Esports Club,1,0,0,0,$868
387,Falkol eSports,1,0,1,0,$820
388,Fenerbahçe Esports,1,0,0,0,$765
389,TERROR.NET,3,0,0,0,$693
390,Dark Passage,0,1,0,0,$564
391,Case Esports,0,2,1,0,$555
392,Team Empire,1,0,0,0,$500
392,T1 Academy,0,1,0,0,$500
394,FURY,0,0,0,0,$363
395,eRa Eternity,4,0,0,0,$348
396,SKADE,0,0,0,0,$298
397,Black Dragons,0,0,0,0,$283
398,Unicorns of Love,0,0,0,0,$282
399,Nora-Rengo,1,0,0,0,$267
400,Lunatic-hai,0,0,1,0,$247
401,DETONA Gaming,1,0,0,0,$107
402,Lunatic-hai FLUX,0,1,0,0,$92
